"cleaned_comment","likes_count"
"ini mentri paling krennnn bgtttt sumpahhhh..... baru kali ini orang awam mlek ilmu ekonomi gara2 semangat bgt nyimak pa purba yang yang kren bgt","0"
"akhirnya menteri yg bsa masuk jajaran menteri terbaik pak prabowo","11"
"knapa baru sekarang di angkat jd mentri nya dengan sosokk beliau yg tegas pola pemikiran smart dan tidak ribet serta berani.. semoga sehat terus pak dan amanah","0"
"nggak salah pilih nih, pak prabowo hebat","3"
"selama keuangan negara di pegang oleh orang yg bener dan tanpa intervensi sesat. insha allah indonesia akan makmur. biasanya yg kepanasan tu yg mau main jahat tp gk acc,,yg biasa curang celah nya di tutup, karna pada intinya kebenaran akan tetap menemukan jalan nya. sehat terus pak menkeu tetap berpihak pada rakyat byk. selalu berikan solusi"" terbaik untuk semua.","0"
"orangnya kelihatannya mageran.. tapi dia cerdas bisa memecahkan masalah","3"
"pak prabowo kok bisa aja nemu orang kayak pak purbaya ya suka saya... doa buat indonesia... makmur dan bahagia bersama","0"
"mantap bp menkeu","5"
"sementara ini saya doakan yang baik2 untuk beliau , lindungi beliau yaa allah ...","0"
"di jepang harga rokok 70 rb dengan perbandingan upah gaji pe bln 20 jt itu masuk akal","4"
"brarti kalau dikonversi ke umr indonesia yg mungkin rata2 3 juta, harusnya harga rokok 10 rb an, betul bang?","1"
"ya allah lindungi beliau ini dari tangan2 mafia","0"
"sukses buat gudang garam","3"
"dampak cukai yang tinggi tidak selalu mengurangi perokok, dampak negative nya perokok juga bisa menghalalkan segala cara agar bisa membeli rokok akibatnya, duit yang seharusnya dibuat belanja sayur malah ikut di belikan rokok, dll syukurlah semoga pak purbaya di lindungi selalu dan tetap konsisten memperbaiki indonesia","0"
"gue suka dengan menkeu baru ini.... pandanganya realistis dan apa adanya sesuai fakta ke adaan sesungguhnya...... semoga mentri ini terus berpikir waras....... amin...","0"
"saya mulai senang menteri ini wkwkwkwkwk","4"
"suka saya liat menkeu kita ini...ini jiwa kenegaraan keliatan...semangat pak menkeu.. kami butuh pejabat seperti ini..yg selalu mementingka kemaslahatan umat...mari kita berdoa semoga pak menkeu diberikan kesehatan , kekuatan dari allah swt ... amiin","0"
"ada intervensi imf who di industri rokok.","7"
"terus kalo ada imf dan who harus takut gitu?","0"
"sepakat pak rokok saya smp skrg masih belum bercukai, karena mahal penebusan cukainya. harapan saya dengan kebijakan dari bapak bisa membantu produsen rokok untuk mempermudah cukainya tanpa memberatkan. terimakasih pak. salam hormat saya dari malang jawatimur","0"
"rokok ilegal juga itu umkm pak. hahhaha. kalo mw sih bersaing aja. asal cukai rokoknya turunin jadi harga ga jomplang. yang ilegal dibuat legal dipakein cukainya. jadi terserah konsumen. mw yang murah tapi biasa aja. atau agak mahal dikit tapi rasanya mantab","3"
"hehehe, masalahnya rokok ilegal itu ga mau di pakek'in cukai mas. soale kalau di kasih cukai nanti harganya akan sama dengan yg mahal. kalau cukai diturunin dan rokok ilegal jadi legal berpajak nah itu namanya persaingan. salam sebat. .","0"
"betul sekali bapak ini..sangat mengerti kenyataan diluar..tidak hanya menerima laporan dari bawahan..","0"
"emang harus ditinggiin supaya orang gak beli rokok terus, udah ditinggiin malah makin meningkat pembelian ya !!!!!!","4"
"gudang garam omsetnya turun karena kalah dengan rokok² murah karena cukainya mahal. dampaknya? phk dimana mana, soal perokok semakin tinggi ya edukasi bahaya rokoknya. tugasnya kemenkeu salah satunya mendongkrak agar perekonomian jalan. banyak phk daya beli masyarakat turun ekonomi masyarakat tidak berputar. padahal kekuatan indonesia ada di belanja masyarakatnya karena populasi banyak. cmiiw","2"
"berarti gak efektif ninggiin pajak.","0"
"semakin tinggi,mereka malah cari pasar gelap,bukan pemasukan tambah malah kurang,karna,nggak bercukai,,malah rugi pemprintah,dan pekerja industri ,petani.ambruk tambah lagi pengangguran.","0"
"istiqomah ya pk purbaya....10 menteri model anda semua.indonesia kita pasti jaya.","0"
"asiiiiik.. .rokok gudang garam filter, turun ke level 15,000","5"
"marlboro gimana broo apa memang mau turun harga rokok","0"
"surya 15 rb saya merokok lagi","0"
"pak purbaya semoga dapat hikmah yang tulus buat rakyat indonesia","0"
"pernah rokok mahal n sekarang rokok murah..yg murah juga bnyak yg enak...rata2 beda rokok mahal sma murah cuman gengsi doang sih...","7"
"terima kasih pak mentri,semoga indonesian bisa sembuh dan pulih dari sakit dan menjadi bangsa yg masyarakatnya hidup makmur","0"
"ini baru betul, setiap tindakan harus di fikir dampak dan keberlangsungan industri dalam negeri.","0"
"trimakasih pak menkeu........ jujur dan cerdas , memikirkan hajat orang banyak.........","0"
"dampak cukai roko naik,banyak petani tembakau lokal kesusahan dalam perputaran ekonomi,salah satunya dampak nya berujung pada perusahan roko rakaasa pt gudang garam di mana banyak karyawan yg sebagian di pkh karena hasil produk penghasilan perusahaan menurun. pajak cukai naik hampir 57 dan tujuannya untuk mengurangi popularitas perokok namun dampaknya malah sebaliknya roko ilegal non cukai banyak beredar dan masih di gemari kalangan masyarakat menengah bawah.","2"
"alhamdulilah muncul lagi pemimpin yg baik yg amanah mau membela rakyat kecil ,setalah kdm muncul lagi pemimpin yg baik menkeu ,mudah mudahan allah mendatangkan lagi pemimpin pemimpin kaya kdm dan menkeu pak purbaya","0"
"ini pak mentri yg cedas, benar2 menerapkan kecerdasan nya untuk kepentingan bersama, bp. org hebat, sy rasa jabatan menkeu sangat pantas bp. sandang. pola pemikiran nya luas. mantab pak, smoga di berikan kesehatan kemudahan dlm pekerjaan nya.. amiin..","0"
"kakek di desa saya sudah merokok dr umur 15 tahun, sampai sekarang umur 87 tahun masih merokok, panjang umur. kunci nya bukan karena cuma rokok, tp pola hidup harus sering gerak, banyak jalan kaki, gak merokok tp minum manis sehari berapa kali, makan yg di goreng berapa kali, belum lagi kerja nya cuma duduk","0"
"bapak ini tuh simpel....kalo dia bisa jawab ya dijawab gak pake muter2, kalo belum bisa jawab ya dia bilang belum tau, gak muter2 biar keliatan tahu.","1"
"pemikiranya sederhana mudah dipahami, saya mulai suka dengan gaya kerja bapak ini.","0"
"pak mentri harus berani turunkan cukai supaya tak ada phk di perusahaan rokok ,dgn menurunkan cukai maka perusahaan rokok akan memutar keuntungan dgn membuka usaha bidang lain atau menambah jumplah karyawan yg bisa mengurangi pengangguran","1"
"analisa kebijakannya sederhana sekali, ga muluk2 diimbangi dgn gaya bahasa yg sangat bisa diterima umumnya masyarakat. semoga amanah","2"
"pak purbaya ini bagus klo memang bener2 bisa jalanin sesuai yg di katakan","1"
"penjelasan p mentri itu gampang di pahami ,,baru ini ada p mentri menjelaskan sampai detail ,,sehat sll p mentri","0"
"baru ni mentri kerja cermat dan cerdas","0"
"pak purbaya diberi kemudahan kelancaran serta kesehatan...dan ekonomi indonesia jauh lebih baik...aamiin","0"
"pemikiran beliau jauh lebih cerdas dan manusiawi dari mentri yg sebelumnya","0"
"bukan masalah rokoknya tapi,brapa ribu orang yg bergantung di sana untuk menghidupi keluarganya","0"
"logis banget ni mentri","0"
"gw demen sama pemikiran mentri ini","2"
"pernah dengar istilah kalo bicara aja gampang,eh beneran dilakuin,bicaranya gampang tapi beneran dilakuin apa yg dibicarakan,makin mantap menkeu kita nih","0"
"layak jadi pemimpin, karena memikirkan rakyat dan orang banyak. sebagian lain nya ga layak jadi pemimpin...karena hanya mrmikirkan diri dan kelompoknnya. bpk purbaya orang dan oemimpin yang baik...semoga sehat2 selalu bapak","0"
"orang hebat,,, bicara tanpa beban,, solusi y mantaaap buat kebaikan,, good job","0"
"industri padat karya masih menjadi harapan bagi masyarakat yang mencari kerja, hidupkan kembali industri2 padat karya untuk menyerap banyak tenaga kerja","0"
"purbaya org yg supel dan jujur, selama ini sri mulyani sdh belasan tahun bohongi publik","0"
"bicara nya santai tapi isi nya padat dan jelas","0"
"mbah buyut saya umur 93 tahun, katanya dari remaja sampe sekarang merokok, sampe skrng sehat2 aja tuh, sakit palingan cuma nyeri otot doang di balsem sembuh. rokok linting sendiri, kecuali anak cucu nya yg beliin, suka nya samsu surya.","0"
"menanti kebijakannya lagi bapak tolong jangan berubah kedepannya tetap bikin indonesia maju dan rakyatnya makmur. itu semua anggaran ada ditangan bapak kemenkue. orang baik banyak cobaannya buktikan dengan kerja dan kebijakan bapak.","0"
"saya sangat respect dengan anda pak menteri..","0"
"purbaya adalah panglima perang sakti dari mataram yg kala itu ikut berjuang menyerang batavia yg dikuasai oleh voc dan beliau wafat dan dikebumikan daerah kami kab.tegal.semoga bpk.purbaya ini adalah reinkarnasi dari beliau","1"
"semoga pak purbaya amanah dan bisa mengemban amanah rakyat dan mengelola keuangan negara yg baik","0"
"sehat""pak mentri,rakyat membutuhkan orang seperti anda","0"
"di indonesia ini dari bayi baru lahir sudah di kenakan pajak tidak ada satu manusia yang luput dari pajak, tapi heran nya negara tidak ada kemajuan signifikan.","0"
"aku suka cara dia berbicara, gamblang and transparan","0"
"mantap pak...sekarang kita punya mentri yang humoris pada parlemnnya dan ndak tersembunyi pada rakyatnya ndak seperti dulu pakum sukses terus pak...","0"
"alhamdulillah akhirnya ada menteri yg kebijakannya langsung kena ke masyarakat,semoga alloh selalu memberi kesehatan dan perlindungan kepada bapak nurbaya aamiin","0"
"feeling saya kok seneng dapat mentri seperti ini","0"
"ini baru menteri berkualitas tinggi","0"
"bagus ini aura menteri keuangan dukung banget aku, semangat sehat2 pak","0"
"rakyat bersamamu pak purbaya,, dalam sektor industri rokok yg dirugikan bukan cuma p.rokok itu aja, petani sangat dirugikan, saya petani tembakau kendal mendukung kebijakan pak purbaya 10 19","0"
"enak dengar cara bapak mentri ngomong","0"
"semoga amanah sesuai harapan rakyat, utk kebenaran jalankan pak, kami rakyat indonesia sll support berdoa agar semua aktifitas bpk diberi kemudahan kelancaran dlm mewujudkan keadilan sosial bagi seluruh rakyat indonesia....aamiin","0"
"alhamdulillah punya menteri yg pro rakyat..sehat² pak purbaya","0"
"purbaya jawaban nya tentang pajak rokok naik 57 purbaya menjelaskan jadi publik cepat mengerti luar biasa","0"
"orang ini harapan baru untuk orang indonesia","0"
"gila keren, saya sebagai pengusaha rasanya punya harapan lebih baik untuk kedepan dengan mentri seperti anda pa purbaya. semoga tidak ada kebijakan bapa yg strategis dan membangun ekonomi indonesi di hadang oleh kepentingan politik yg busuk.","0"
"alhamdulilahhh punya mentri hebat","0"
"mantap pak purbaya jebolan itb, smg peduli rakyat","0"
"semoga pak menkeu di lindungi allah swt amin yaa robbal alamin semakin pemimpin jujur mementingkan rakyatnya semakin banyak pula orang"" jahat menargetkannya. salam hormat dari saya pak menkeu","0"
"mantap bapakku teruskan majukan indonesia","1"
"beliau ini orang nya sederhana , dan murni kerja utk bangsa ..mudahan gak bisa di tunggangi para mafia negara","0"
"kita doa kan allah mudahkan segala urusan pemimpin yg bijak..amin","0"
"saluuuuud ini niiii yg di harapkan indonesia. lanjut pak ourbaya","0"
"hidup tanpa rokok bagaikan makan tanpa garam...makanya turunkan cukai rokok pak menteri...biar harga rokok kembali terjangkau oleh para ahli hisab...","1"
"menteri keuangan sekarang lebih bahagia, blak blakan, selalu muncul, kasih informasi, jadi rakyat bahagia loh, benar gk, selama ini kita tau menteri keuangan pas umumin naikan pajak aja terus, sehat selalu pak, tetap bersih itu yg penting, jadi orang bersih selalu bebas mau ngomong sesuai keadaan sebenarnya","0"
"alhamdulillah punya mentri yg bisa berpikir waras","0"
"gaya bicara beliau sama seperti menteri pertanian gak muluk2, sesuai data apa adanya, mantap","0"
"justru ini yg paling kita tunggu selama ini, semangat dan sehat terus pak purbaya","0"
"udah mulai berdampak kok, seengak harga kedele turun,nga naik seenaknya sendiri pas jamannya sri mul, bagi kami pengrajin tempe, turun 700 lumayan buat kami keren sih kebijakan menteri sadewa berdampak buat kami","1"
"mksh pak menteri yg pux hati nurani uk rakyat indo","0"
"masalah rokok ini 1 lagi pak, sekarang industri rumahan ilegal juga menjamur terutama di jatim, menyerap tenaga kerja banyak dan meningkatkan perekonomian masyarakat secara signifikan. kedua, soal penggunaan daun talas sebagai campuran pengganti tembakau, otomatis juga menjadi ""rokok palsu"", tapi banyak disukai konsumennya, belum ada regulasi nya.","0"
"ayo pak menkeu jangan hanya omon2 segera realisasikan program kerja anda, rakyat mendukung anda","0"
"i love purbaya hebat","0"
"rokok tidak bisa dilepaskan dari kehidupan masyarakat indonesia. merokok sdh menjadi bagian kehidupan mereka terlepas dari resiko terhadap kesehatan. daripada menghilangakan lebih baik dibuat aturan perokok ditempat umum agar lebih tertib dan tidak mengganggu masyarakat yg tdk merokok.","0"
"mantap pak, kampung halaman saya juga penghasil tembakau, petani juga kena dampaknya, semoga menkeu yg baru mampu bersihkan mafia cukai dan pajak","0"
"baru kali ini ada pejabat yg peduli sama perokok,good job my koboy","0"
"menkeu sebelumnya juga bagus,tapi dia gak berada di posisi rakyat indonesia gak rasain susahnya","1"
"ya allah suka bgt dgn p.pur smoga dimudahkan untk bersama"" mmbangun indonesia","0"
"satu kata buat pak mentri best semenjak dia jadi mentri jadi berasa punya pejabat yang mikirin rakyatnya","0"
"banyak harapan dengan purbaya ... semoga berhasil . ... menyelamatkan ekonomi yg terlanjur babak belur.","0"
"penjelasan yang mencerdaskan mantap pak purbaya","0"
"menaikan harga rokok itu bukan solusi mengurangi perokok...tapi vonis dokterlah yang membuat orang mau berhenti merokok...ini fakta di kampungku","0"
"semoga dibawah bapak purbaya ekonomi indonesia akan segera bangkit","0"
"seneng sering diskusi gini, jadi mencerdasakan rakyat.","0"
"semoga ekonomi lebih baik, agar rakyat lebih mudah dari beberapa tahun ini yg kita rasakan semakin sulit,","0"
"gini nih namanya menteri, kerennn.. semoga konsisten..","0"
"ini baru menteri","0"
"sy berdoa smg p purbaya sll dibimbing tuhan yme agar dpt memimpin dan membawa kebaikan kehidupan bangsa dan nkri. aamiin yra","0"
"izin ngomong buat bapak purbaya, melindungin market pabrik rokok adalah langkah yang bagus tapi kasus 86 dilapangan oleh oknum aparat dengan produsen dan pengedar rokok palsu juga harus jadi perhatian khusus pak","0"
"saya sudah do'akan bapak sadewo di lindungi tuhan allah yang esa","0"
"cukai sampoerna mild isi 16 btng rp1.231 x 16 19.696 satu slop isi 10bks. 19.696 x 10 196.960 satu bal isi 10slop 196.960 x 10 1.969.600 ini baru satu merk, belum merk lain. sedangkan baru satu merk saja di seluruh indonesia satu hari bisa terjual ratusan bahkan ribuan bal. mungkin lebih. tapi tetap rakyatnya sengsara","0"
"seleksi lg mentri dpr , cari yg sprt pak purbaya , bekerja sungguh² dgn hati tdk korupsi memperkaya diri","0"
"semoga indonesia punya memiliki mentri2 yg pro rakyat menjadi penyelamat indonesia","0"
"lanjutkan pak...rakyat mendukungmu untuk indonesia maju","0"
"bapak knp pinter bgt cara berpikirnya. sedetail itu sampe mikir mitigasi resiko jg dlm menentukan kebijakan ngga mentang2 dibelakang kebijakan ada siapa sj. sy setuju sekali bismilah lancar semua planningnya","0"
"mudan²an d bawah kepemimpinan bapak, keuangan negara lebih baik ya pak... banyak sekali orang yg berharap sama bapak..","0"
"semoga pk purbaya amanah, selagi lempeng terus sy pun mendukung terus,kebijakan sederhana mudah di mengerti dan tepat sasaran","0"
"baru ini saya liat mentri gaya bicara nya gamblang banget, semangat pak","0"
"baru 2 mentri yg bermutu, p.amran p.purbaya, mentri² yg lain kira² kwalitasnya gimana?...","1"
"alasan saja itu mengurangi merokok bukan dari pajak yang tinggi, tapi kemauan diri sendiri","0"
"mantap pak... semoga keputusan pak mentri menguntungkan rakyat... semoga banyak terobosan kebijakan menguntungkan rakyat...","0"
"sehat selalu pak menteri haruh dan bangga melihat pak menteri masih memikirkan yang lapisan terbawah","0"
"nice personality keren semoga istiqomah beliau ini... asing aseng gak suka yg model gini2 respect pak prabowo gak salah pilih ini, tinggal pilih tandems beliau2 aparat2 penegak hukum yg lurus jujur dan menteri industry yg professionals juga bakal hebat negeri ini","0"
"gaya bicaranya enk bgt, sehat"" pak, smga dilancrkn sgla urusan anda, mantb pak, lanjutkan","0"
"rokok itu dari dulu hiburan rakyat kecil seperti saya, makin tahun makin mahal sri mulyani tidak pernah tahu kondisi kita di kampung kampung","0"
"sy mulai ngefans ke bpk mudah2n bpk sekeluarga diberikn kesehtn dqn keselmtn oleh alloh swt","0"
"gaya bicara bapak ini..saya suka...boleh lah...","0"
"awal ny sy kira lebih parah menkeu yg baru ini.. ternyata pak purbaya ini orang cerdas..","0"
"apa yang jadi perasaan saya , . . . terjadi. . . saya tidak tahu ekonomi, . . . tapi saya punya rasa . . . . semoga indonesia semakin baik, . . harus muncul ide, pikiran, akal, teknik, cara, . . . yang baru dan mampu memperbaiki keadaan","0"
"alhmdulillh purbaya dpt jwb dn cari solusi yg tepat sasaran ..walpn baru dilantik ..mari dukung dn doakan agar lebih baik ekonomi ..td harus spt nepal","0"
"tumen denger narasi pejabat masuk akal dan melihat kepentingan rakyat untuk sementara kita pantau terus sejauh ini masih sangat okk bapak ini","0"
"gaji harian 120 . beli makan 3x 15000x3 45000 beli kopi 3x 5000x3 15000 beli rokok 1 bngks 27000 persiapan beli kuota 3000 per hari. buat kebutuhan pokok aja udah habis 90.000 sisa tinggal 30.000 apa cukup buat nafkah keluarga ?? tolong ini di bahas pak menteri keuangan","0"
"sangat menyejukan,","0"
"pak purbaya semoga selalu amanah dan memikirkan rakyat pasti allah swt akan selalu melindungi dan memberikan kesehatan selalu amin yaa robbal alamin","0"
"betul pak. kerenn. emang harus fokus dulu. ekonomi harus jalan. lindungi rakyat sendiri dulu.","0"
"keren pak purbaya lebih pro rakyat......","0"
"sepertinya orang ini cukup bijak.... semoga saja tidak hanya bayang bayang","0"
"klo melihat kata2 pak purbaya mantap, semoga cepat terealisasi, pokoknya bukan cm omon2.","0"
"alhmdllh ini baru mntri mmbela industri dlm ngri jg rakyat,sehat sllu pak yg mndkungmu smoga anda bisa lbh baik dri srimulyono mnusia paling jhat kpda rkyat","0"
"ridho lillahita'ala purbaya istiqomah","0"
"betul sekali pak menteri","0"
"saya sebagai rakyat kecil mendukung penurunan bea cukai untuk rokok,supaya rokok tetap murah industri rokok tetap jalan supaya karyawan juga tetap kerja tanpa phk,sedangkan harga rokok btng lebih murah dari pada bea cukai btng","0"
"penjelasannya enak gamblang, mantap smoga bs bawa perubahan lebih baik buat indonesia aamiin","0"
"pak jangan kecewakan kami pak !!!! selamat bertugas","0"
"berarti jk pajak rokok cuma 10 harusnya ekonomi rakyat kecil tumbuh donk","1"
"sukakkkkk sama bapak menteri yg 1 ini..sehat2 selalu pak","0"
"hidup p. purbya","2"
"saya perokok yg sudah berhenti, menaikan pajak nya hanya membuat pengangguran main banyak, contoh gudang garam tutup, membuat orang berhenti merokok itu dari kesadaran sendiri, pajak rokok dinaikan rokok menjadi mahal, tapi para perokok jadi belik rokok ilegal non cukai yg murah murah yg sebungkus 10rb 15rb, jadi gak ada gunanya tujuan menaikan pajak rokok degan tujuan mengurangi perokok. yg ada malah menambah banyak pengangguran","0"
"bagus pola pikir pak menteri. kebijakan kurangi perokok bukan naikin pajak yg bikin rokok tutup dan phk tanpa disertai mitigasi pegawai yg d pecat .","0"
"bapak purbaya sehat doaku sampean sehat selalu...amin...anda cerdas","0"
"sangat bagus cukai rokok tinggi sehingga harga rokok jadi tinggi agar rakyat miskin tidak tambah miskin","0"
"mantaaf pak purbaya...","0"
"rasanya baru ini mentri yg banyak wawancara sama wartawan.","0"
"makin keren menkeu baru ini. semoga bisa membawa indonesia lebih baik lagi","0"
"ternyata bahasa orang teknik sangat mudah dipahami semua kalangan","0"
"hebat mentri keuangan ini, top","0"
"bravo ....teruskan...","0"
"menteri simple langsung jelaskan inti permasalahan dan penyelesaiannya","0"
"baru kali ini mau nonton smp selesai menteri lagi ngomong.. bravo pak purbaya..","0"
"saya doa kan semoga bapak mentri tetap jujur dan amanah","0"
"mudah mudahan bapak ga kaya yang laen yah pak .. bapa udh ckup gaji bapa besar .. tlong rakyat ini butuh sosok pemimpin yang bner bner buat rakyat","0"
"saya semangat sekali liat mentri kita ini awal lantik saya liat biasa saja nii ehhhhh mala semakin kecandu nonton bapak mentri yg luar biasa","0"
"di usahakan harga rokok yg legal turun harganya karna cukainya murah, yg ilegal jangan sampai beredar, dengan cara itu pendapatan cukai akan tetap meningkat dengan sistem suplai demand yg sesuai dan perusahaan rokok terdaftar di indonesia dapat menyerap lapangan kerja yg lebih banyak seperti sebelumnya, karna masyarakat indonesia sulit untuk berhenti merokok sekalipun keadaan keuangannya tidak begitu baik"" saja, saya yakin menteri sekarang lebih baik dari sebelumnya","0"
"pak pur, kalo memang bapak cerdas bagaimana caranya kalo sekolah dr tk sampai kuliah gratis,listrik dan juga air gratis,pajakpun gratis, rakyat indonesia perkepala dapat uang perbulan 20jt dr negara tanpa kerja, itu baru hebat pak,rakyat pasti tidak akan ada yg sengsara, krn hasil tambang kita melimpah kekayaan alam kita banyak..","0"
"semoga mentri keuangan baru bisa merubah ekonomi indonesia lbh baik","0"
"untuk hal cukai rokok saya sih kurrang setuju kalau diturunkan dengan drastis, menurut saya biarlah harga rokok mahal demi melindungi rakyat dari efek kesehatan rokok, dan melindungi dompet ibu2 yg harus terkuras karena suami mereka akhirnya ngerokok gak berhenti karena harga rokok terjangkau.","0"
"pro rakyat banget","0"
"kurangi penggelapan pajak, tetep amanah istiqomah, jangan gampang tergiur iming iming kesenangan sesaat di dunia pak,,, semangat,,,","0"
"efek rokok ilegal banyak di pasaran.. penjual rokok jadi menurun. efek mencari rokok non cukai, murah meriah","1"
"semoga pak purbaya sukses mengatasi kekacauan ekonomi","0"
"gaya anak teknik. mudah diterima masyarakat luas. saya suka gaya bicaranya","0"
"4 15 abs anti lock braking system asal bos senang","0"
"statemen awal pas beliau jadi menkeu ""saya jago"" ternyata mulai terbukti","0"
"pak purbaya tolong tunjangan kinerhja di kemenkeu disamakan dengan kementerian lain, si srimulat naikin sampei 1000 lebih tinggi dari kementerian lain. tunjangan sebesar itu bisa di gunakan untuk keperluan lain yang lebih penting.","0"
"semoga ekonomi indonesia membaik di kepemimpinan pak purbaya,, semoga pengangguran semakin berkurang","0"
"saat rakyat sangat optimis berharap pemimpin ini memikirkan keberlangsungan kesejahteraan rakyat pasti di buat kecewa. udah deh.. yg bukan mental petarung lebih baik jangan mendalami dunia politik","0"
"harusnya begini pola pikir pengelola negara ini. mikirnya utuh, hulu hilir, nggak sepotong sepotong, cuek dengan dampak sampingannya.","0"
"alhmdllh menteri ngerti rakyat","0"
"ini baru namanya menteri .... nih lihat sri mulyani belajar sama bapak ini....!!!","0"
"tuhan sudah menumbuhkan tembakau untuk sebuah manfaat...ada petani..ada pabrik..ada pekerja..ada distribusi..ada pedagang dll yang hidup dari rokok...kalo bisa juga cari manfaat lain selain buat rokok dan mampu menyerap tenaga kerja yang bisa ikut menikmati hidup dinegeri yang saat ini benar benar susah cari kerja.","0"
"semoga cukai rokok bisa diturunkan agar tenaga kerja yang kena phk bisa bekerja kembali .. kasihan para pekerja yang kena phk mereka juga butuh income untuk biaya hidup !! semoga menkeu lebih bijak dalam menerapkan kebijakan !! kemanusiaan lebih utama daripada kebijakan yang tidak bertanggungjawab !!","0"
"sehat selalu pak mentri purbaya. gbu","0"
"mudah2n ada perubahan yg lebih baik..sungguh makin sulit untuk petani skrg termasuk tembakkau tahun ini penjualan dipetani macet n murah pas biaya makin gede pupuk sulit","0"
"saya merokok sejak harga sebungkus rokok sebungkus sekitar 250 rupiah, sekarang kelas yang sama kisaran 25.000 30.000","0"
"tetap berjuang untuk rakyat pakk!!","0"
"pak purbaya menjelaskan dengan bahasa rakyat....","0"
"sy suka mentri ini, analisanya tajam dan cepat.jangan nambah hutang ya pak.","0"
"yang terpenting jangan biarkan rokok ilegal bebas dijual di online pak menteri..","0"
"ini baru menteri","0"
"masalahnya rokok itu di tutup, rokok ilegal malah beredar semakin liar dan luar biasa.itu harus di perbaiki pak, karena berpengaruh ke petani tembakau juga, banyak hal yg di buat kebijakan yg bodoh 1x sebelumnya.termasuk pembatasan plastik, malah kita harus bayar dan beli tas lagi padahal dulu gratis.mantap untuk menkeu yang baru ini, dia bisa melihat masalah2 di lapangan","0"
"terbaik...","0"
"bismillahirrahmanirrahim lancar . ini baru mentri keuangan","0"
"luarbiasa analisis nya pak","0"
"aku suka gaya bapak satu ini, keren lah...","0"
"mantab ini pa mentri, semoga ada perubahan yg signifikan","0"
"satu biji rokok surya cukainya 1.200 dan harga rokok cuman 26.000 intinya 14.000 per satu bungkus untuk cukainya bayangkan berapa besar masyarakat pecinta rokok surya membayar pajak selama setahun merokok, berapa besar stiap tahunya gudang garam membayar cukai tsb, mahal bgt buat apa uangnya makanya turunkan cukai agar tidak banyak rokok ilegal","0"
"nah gitu dong... mantap pak.. jangan sikit2 hutang,, sikit2 naikin pajak... kalau di dealer mobil, kalau ada nasabah beli mobil kredit, maka salesmen dan atasan dapat uang fee refund dari lembaga pemberi kredit, lumayan besar lho. kalau bank dunia mengucurkan dana ke indonesia, kira2 dapat berapa ya refund nya?? hanya pemikiran saya.","0"
"pak pur","0"
"dari gestur dan tutur kata memang beliao seperti nya orang yang kompeten","0"
"terus bekerja saja ..dan lakukan itu dengan secermat mungkin biar semua terungkap apa yg menyebabkan kegagalan jangan sampai rakyat mencium ketidak beresan..perhatikan semua pergerakan keuangan negara dari semua bidang ...biar ekonomi stabil..","0"
"pak kalo bisa mbg d ganti buat sekolah2 pelosok aja saya rasa anak2 butuh pendidikan yg lebih layak juga, dan untuk industrialisasi saya setuju dengan bapak perbanyak lapangan kerja dan industri di seluruh indonesia kami butuh pancing bukan cuma di kasih ikannya saja, mudahan indonesia bisa lebih baik dengan mentrinya yg baru","0"
"menteri keuangan bpk purbaya, beda 360 derajat dengan mantan menkeu sri mulyani, pak purbaya lebih sangat terbuka , lebih peduli terhadap kejadian yang sedang berjalan..contoh mengenai keadaan cukai rokok yang tidak adil buat perusahaan legal dan akan memproses rokok ilegal","0"
"ini baru kerja","0"
"luar biasa bapak ini, salut !","0"
"mudah mudahan menkeu yg baru lbh baik","0"
"intinya cukai rokok itu memperkaya pejabat, tidak ngotak tarifnya","0"
"lanjutkan pak menku kami sangat setuju","0"
"lanjut pak ..","0"
"mudah2an tegas seluruhnya pak purbaya","0"
"sebenarnya tidak masalah punya pajak rokok tinggi. tetapi jangan salahkan konsumen menurun karena pendapatan yang kurang. asal negri ini adil pendapatan sesuai dengan ekonomi semua juga bisa dibeli rakyat","0"
"pak prabowo ngga salah pilih menteri... mantap","0"
"cocok jd wapres 2029 dampingi pak prabowo","1"
"mantap pak, cari pendapatan negara dari barang masuk atau barang import yang bisa di sediakan dalam negeri, bebaskan pajak sampai nol , untuk bahan baku yg dibutuhkan industri dalam negeri, dengan kreteria standart mutu tinggi","0"
"org yg mengerti tata dan langkah kerja dibidang tugasnya ya seperti ini.","0"
"sehat slalu bwt bpk mentri","0"
"dengan harga yang tinggi bagi rokok terkenal selama ini gak terjangkau akhirnya perokok milih rokok yang harga terjangkau","0"
"bapak sy pantau trs ni,,, smga amanah trs sswai dgn omongannya ya pak,, msh berharap kmu d bantu allah bs mmperbaiki perekonomian rakyat indonesia,,, rokok ilegal pak trll bnyk smp masuk kota dn plosok2,, jdi biasa qt dpt hrga rokok 27 up lah ad rokok ilegal hrga 10 15 dh isi 16 tolong,,, jdi tdk mngurangi konsumen rokok ,,,","0"
"orang teknik kalo merencanakan pemecahan permasalahan pasti melihat dampak jangka panjangnya, itu yang bener. ini orang teknik pinter ekonomi juga. lah paket lengkap sudah.","0"
